ssn,nif,nome,telefone,morada,data_nasc
71741281232,242335784,Tânia Góes,925086338,R CONTRADINHA LOTE 3º DTO 2630-546 - SANTIAGO DOS VELHOS,2002-8-28
47025213711,125208717,Brites Calazans,921239857,R CASAL DE SANTO ANTÓNIO LOTE 2º ESQ 2580-180 - MECA,1960-3-20
93017600720,796952655,Lourdes Topete,931937438,R TOJAIS LOTE RC 2630-239 - ARRUDA DOS VINHOS,2011-7-4
14280774624,870526693,Valentina Alarcão,914052330,R VÁRZEA LOTE 1º ESQ 2580-401 - VENTOSA ALQ,1969-2-21
70400232986,949524550,Joaquina Águas,988376954,R 5 DE OUTUBRO LOTE 1º ESQ 2580-437 - VILA VERDE DOS FRANCOS,1957-3-25
69821894452,290054687,Fausta Guerreiro,940868556,AV MOVIMENTO DAS FORÇAS ARMADAS LOTE 2º ESQ 2700-596 - AMADORA,2003-6-3
83784327060,810187995,Márcia Dimas,954490279,R MATO DO ALMO LOTE 1º DTO 2580-122 - CABANAS DE TORRES,1944-12-5
93815342556,775757172,Ivete Maciel,975730658,TV ANTERO DE QUENTAL LOTE 1º DTO 2700-061 - AMADORA,2022-3-15
35682563699,965476740,Umbelina Liberato,946723816,LG 1 DE MAIO LOTE 3º DTO 2650-143 - AMADORA,1961-6-14
93748411675,667747879,Lino Ruivo,923953308,AV D NUNO ALVARES PEREIRA LOTE 1º DTO 2700-257 - AMADORA,1973-2-14
56196416362,956458122,Maximiliano Pessoa,942731577,R FONTE LOTE 2º ESQ 2630-589 - SANTIAGO DOS VELHOS,2014-5-12
17257706586,908786757,Iolanda Machado,916591301,R STA MARTA LOTE 2º ESQ 2580-660 - PEREIRO DE PALHACANA,2006-9-3
32790662812,776210134,Ricardo Campos,949035705,TV CARDOSO LOTE RC 2580-089 - ALDEIA GALEGA DA MERCEANA,1948-10-6
66731465725,801981179,Guido Figueira,922004180,AV D LUIS I LOTE 2º ESQ 2610-197 - AMADORA,1993-3-10
24222439815,976630212,Irina Vitorino,937601097,R PEDRO DEL NEGRO LOTE 3º DTO 2720-450 - AMADORA,1963-7-5
69880904118,461916292,Aidinha Amaral,943281210,LG S SEBASTIÃO LOTE 2º ESQ 2580-178 - MECA,1970-12-14
61992105790,109257975,Cássia Cardoso,983194458,R 5 DE OUTUBRO LOTE 3º ESQ 2580-404 - VENTOSA ALQ,2005-11-27
30051856183,714809560,David Ruivo,931476131,TV FIGUEIRA LOTE 3º ESQ 2580-456 - ABRIGADA,2015-2-10
63877375549,165272655,Lauro PereiradaSilva,944289481,R SERRA DO MONTEJUNTO LOTE 1º ESQ 2580-121 - CABANAS DE TORRES,1985-5-6
10444485013,580319958,Quirina Moreira,977570658,R S LOURENÇO LOTE RC 2580-095 - ABRIGADA,1927-7-8
68998852958,310054787,Belmiro Albergaria,914027555,R PENUDA QTA DOS ARRAIAS LOTE 1º ESQ 2580-559 - RIBAFRIA,1956-3-9
14202264318,954296178,Daniel Guerreiro,962621497,AV D NUNO ALVARES PEREIRA LOTE 2º ESQ 2700-254 - AMADORA,1960-6-4
49352192963,290502452,Corina Agra,963066552,QTA LAGAR NOVO LOTE 2º ESQ 2580-648 - ALENQUER,1955-9-22
46700463004,294251520,Carla Sodré,964669483,PCT ANTONIO DUARTE LOTE 2º ESQ 2700-932 - AMADORA,1985-9-14
31856525004,882140344,Elizabete Novo,983312407,R OLIVAL LOTE 2º ESQ 2630-014 - ARRANHÓ,1967-7-26
38824941356,332055862,Valentim Homem,965743004,R REBENTAO LOTE RC 2650-474 - AMADORA,1932-1-3
47165476499,438374144,Silvano Lisboa,910927360,R GEN HUMBERTO DELGADO LOTE 3º DTO 2580-121 - CABANAS DE TORRES,1963-10-27
17472336061,595127303,Lívia Siqueira,931116604,CSL VELHO LOTE 2º DTO 2630-402 - CARDOSAS,2012-8-2
51497550046,890970854,Ema Vitoria,944687210,R LAINS LOTE 1º DTO 2580-657 - CADAFAIS,1951-4-26
96712434066,507062917,Nicole Almeida,940235758,R JUDIARIA LOTE RC 2580-314 - ALENQUER,1937-9-17
59308576676,248371887,Ângelo Modesto,978614417,CSL FALGAR PEQUENO ALBARROIS LOTE 3º ESQ 2580-366 - ALENQUER,1941-3-27
46353025100,674192296,Guiomar Figueredo,950737571,R DAVID MOURAO-FERREIRA PARQUE PENINSULAR LOTE 1º ESQ 2650-050 - AMADORA,1925-11-11
65201221217,991102841,Eusébio Cardoso,915513666,R DO PICO LOTE RC 2650-150 - AMADORA,2005-12-7
10896069667,582878348,Olívia Barroso,920156341,S TEREZINHA LOTE 3º DTO 2580-381 - ALENQUER,1938-9-5
13372801998,823639113,Úrsula Moniz,925522107,R MANUEL LÍRIO LOTE 2º DTO 2720-360 - AMADORA,1959-1-26
59324352586,664348047,Casimiro Ferreira,962940205,R JOAO FRANCO LOTE 3º ESQ 2580-403 - VENTOSA ALQ,1979-4-9
24167753179,533961437,Piedade Clemente,957915467,R PRINCIPAL LOTE 1º DTO 2580-141 - CARNOTA,1980-2-19
55117237678,161939948,Lígia Mateus,942313318,TV AUGUSTO GIL LOTE 2º DTO 2650-372 - AMADORA,1928-10-13
52343835822,783661433,Sofia Alvarenga,979956322,CSL SARROEIRA LOTE 1º DTO 2580-379 - ALENQUER,1924-6-26
32552489748,221518773,Luz Salvador,945899860,R ESTRADA MILITAR LOTE 1º DTO 2630-092 - ARRANHÓ,1954-11-6
70601207347,878034875,Carmina Henriques,922530067,R IGREJA LOTE 2º ESQ 2630-433 - CARDOSAS,1942-6-9
63488559872,300534634,Piedade Vitorino,949730554,R 25 DE ABRIL LOTE 1º ESQ 2580-381 - ALENQUER,1936-5-4
96180857645,737139453,Isilda Barreto,986869575,QT DA INSUA LOTE 3º DTO 2580-408 - VENTOSA ALQ,1973-11-19
69065851264,159111156,Aurélia Guerreiro,927217361,R CABECO DO SEIXO QTA DA ROSEIRA BRAVA LOTE 1º ESQ 2580-243 - OTA,1950-1-23
22166110861,726121887,Rogério Malafaia,973408335,R GONCALVES ZARCO LOTE 3º ESQ 2610-085 - AMADORA,2012-12-24
86953041958,439485432,Viviana Pascoal,975767171,R S JOÃO LOTE 2º DTO 2580-555 - RIBAFRIA,1940-12-8
97302627412,949114643,Susana Viana,980316725,CSL BORDARIAS LOTE 1º ESQ 2630-154 - ARRUDA DOS VINHOS,1937-6-21
42591691205,588082712,Carmina Moreno,984031348,R CAMPO COMPRIDO LOTE 1º DTO 2630-039 - ARRANHÓ,1933-2-16
48500737505,416510356,Fausta Tomás,959981066,R FONTE LOTE 1º ESQ 2580-558 - RIBAFRIA,1992-2-8
83225123098,426678461,Guiomar Ramalho,958888724,R RAFAEL PINHEIRO LOTE 1º DTO 2580-507 - CARREGADO,2022-7-1
92194032103,438528231,Feliciano Sabrosa,975902466,TV 25 DE ABRIL LOTE 3º DTO 2630-586 - SANTIAGO DOS VELHOS,1924-6-16
51078305480,818863294,Capitolina Tinoco,969559326,BC CALCADINHA LOTE RC 2580-255 - PEREIRO DE PALHACANA,2008-1-5
76994049542,246584599,Violante Frazão,933347609,R 25 ABRIL LOTE 3º DTO 2580-381 - ALENQUER,1970-6-15
20266590757,629526657,Narciso Cortes,975930089,R VALADO LOTE 1º ESQ 2580-454 - ABRIGADA,2006-8-21
90006870943,959320754,Emília Mourinho,942662503,R JOSE ESTEVAO LOTE 1º DTO 2720-319 - AMADORA,1940-2-3
10726932364,895009218,Emília Sabrosa,972095966,ESTR LAPAO LOTE 1º DTO 2630-326 - ARRUDA DOS VINHOS,2018-11-20
36542024721,444105176,Rosana Coelho,939850610,R SOEIRO PEREIRA GOMES LOTE 2º ESQ 2580-376 - ALENQUER,1952-7-18
92320179614,147908845,Romão Inácio,917602341,PC PADRE EDUARDO FERREIRA DO AMARAL LOTE 1º DTO 2700-633 - AMADORA,1938-5-15
54734495731,941215034,Gilberto Brasil,914475033,QTA REQUEIXADA LOTE 3º DTO 2580-376 - ALENQUER,2014-4-12
78306504165,594615730,Felícia Tomás,972272238,R GONÇALVES CRESPO LOTE 1º DTO 2650-241 - AMADORA,1985-5-28
63553030315,963406319,Graciano Bricio,979922019,R CAMPO COMPRIDO LOTE 2º ESQ 2630-507 - SANTIAGO DOS VELHOS,1940-6-28
25872127508,725189660,Cássio Assumpção,921715070,R PRINCIPAL LOTE 3º ESQ 2580-406 - VENTOSA ALQ,1924-12-17
98406820714,714540660,Alberta Caló,958087934,R PADRE ANTÓNIO VIEIRA LOTE 2º DTO 2700-632 - AMADORA,1966-10-19
73210916413,508515638,Vanésa Seabra,929362424,ESTR ESPOGEIRO LOTE 2º ESQ 2630-111 - ARRUDA DOS VINHOS,1948-6-3
92069044640,899870737,Márcia Ávila,964875587,R GARCIA DE ORTA LOTE 2º ESQ 2720-249 - AMADORA,2019-12-25
36748405590,862076989,Alberta Viegas,968678177,R DEPOSITO LOTE 3º ESQ 2580-147 - CARNOTA,1950-5-4
43958121700,950191287,Fábio Caetano,981672871,R BELAVISTA LOTE 3º ESQ 2630-111 - ARRUDA DOS VINHOS,2015-11-16
41540222828,247654264,Faustino Ventura,965987349,R CARVALHO ARAUJO LOTE 2º DTO 2720-698 - AMADORA,1931-10-20
41422865389,694259826,Zélia Grilo,989108386,R TRINDADE COELHO LOTE 1º ESQ 2610-179 - AMADORA,1938-9-5
21015977533,408036746,Murilo Munhoz,968871738,R S JOÃO LOTE 3º DTO 2650-109 - AMADORA,1967-3-20
59632953990,164120772,Nicole Valentim,948413165,R SEBASTIÃO DA GAMA LOTE 3º DTO 2700-768 - AMADORA,1965-5-28
64369643492,526097783,Odília Alvim,935191362,ESTR GIESTEIRA CASA DOS PIRIQUITOS LOTE RC 2630-241 - ARRUDA DOS VINHOS,1961-3-15
98532737638,621105297,Berengária Raposo,951202603,R TENDEIROS LOTE RC 2580-084 - ALDEIA GALEGA DA MERCEANA,2021-2-13
60767434915,168461442,Custódia Ávila,948470407,R VIEIRA LUSITANO LOTE 3º ESQ 2720-539 - AMADORA,1990-11-20
68021476189,942344876,Maximiliana Marques,965874000,R BRANQUINHO DA FONSECA LOTE 2º DTO 2700-127 - AMADORA,1944-3-20
57106202981,532589989,Damião Moniz,970404594,R FIGUEIRAS LOTE 2º ESQ 2580-121 - CABANAS DE TORRES,1991-2-9
16186847574,149268491,Conceição Passos,964084135,R RAINHA D LEONOR LOTE 3º ESQ 2580-081 - ALDEIA GALEGA DA MERCEANA,1936-11-28
22620225124,964346534,Caetano Carrilho,936560831,EN 115-2 LOTE 2º ESQ 2580-442 - VILA VERDE DOS FRANCOS,1963-8-20
67191114242,890651782,Jorge DoRosário,935296842,EN G LOTE 2º ESQ 2580-103 - ALDEIA GAVINHA,1993-11-10
78657854450,699840734,Leonilde Mendes,913487856,R CRUZ LOTE 1º ESQ 2580-442 - VILA VERDE DOS FRANCOS,1935-12-4
98616149071,200436210,Osório Caldeira,914957729,R S TIAGO CASAL DOS MURTAIS LOTE 3º DTO 2630-528 - SANTIAGO DOS VELHOS,1939-10-2
98512408597,741919408,Aloísio Dinis,926049461,ESTR BRANDOA LOTE 2º ESQ 2650-363 - AMADORA,1931-11-8
96378304596,124427688,Estêvão Amaro,924979263,R LUIS DE CAMOES LOTE 3º ESQ 2580-508 - CARREGADO,1974-9-23
18878730029,953792372,Bruna Sardinha,942250578,R DR ANTONIO CANDIDO LOTE 2º ESQ 2700-268 - AMADORA,1990-11-7
86431215693,306190895,Xisto Venancio,936531190,BC BAIRRO DO AREAL LOTE 2º DTO 2580-287 - ALENQUER,1929-1-28
72817372549,412468163,Vítor Ventura,966040876,R OLIVAL LOTE 2º DTO 2580-573 - ALENQUER,2022-10-15
29012031186,997156029,Edite Frazão,917691443,R CASAL LOUREIRO LOTE 3º DTO 2580-108 - ALDEIA GAVINHA,1936-12-3
12614542495,293588500,Norberto Dinis,949758642,R CALOUSTE GULBENKIAN LOTE RC 2650-357 - AMADORA,2022-3-22
41759777702,989982569,Quitéria Tomás,983345698,R OFELIA MARTINS LOTE 3º DTO 2580-407 - VENTOSA ALQ,1929-12-12
68721181244,991164943,Óscar Sousa,915623365,AV PEDRO ÁLVARES CABRAL LOTE RC 2700-034 - AMADORA,1949-3-2
30217351276,567710613,Rivelino Gonçalves,966820570,URB QUINTA DE STA MARIA LOTE 3º ESQ 2580-019 - CADAFAIS,1954-10-1
93173888572,349121730,Adelina Ataíde,985555867,R CANAVIAL LOTE 2º DTO 2580-412 - VENTOSA ALQ,2014-1-3
38581448252,229734853,Cidália Nascimento,949612054,QTA PENEDO NEGRO LOTE 1º ESQ 2630-357 - ARRUDA DOS VINHOS,2000-2-23
33976470804,739796404,Pedro Branco,987444204,TV CENTRO DE CONVIVIO LOTE 3º ESQ 2580-173 - MECA,1931-10-28
80020572870,504330636,Roberto Figueira,964662440,R CAMELIAS LOTE 3º DTO 2650-409 - AMADORA,1949-1-5
60855723613,160909255,Tomás Dorta,985548843,ESTR CARVALHAL QTA DO PINTO LOTE 2º ESQ 2580-083 - ALDEIA GALEGA DA MERCEANA,1929-9-22
59474147464,425248500,Ivete Paiva,923208815,R TOMÁS DA FONSECA LOTE 1º ESQ 2650-040 - AMADORA,1934-9-23
75359972049,886696031,Jeremias Matos,960518278,R DILI LOTE 3º ESQ 2700-235 - AMADORA,2004-10-5
84248147689,364682771,Estela Madruga,913694519,CSL PRAIA LOTE 2º DTO 2580-064 - ABRIGADA,2016-8-4
59717334310,823457755,Olavo Batalha,957900565,R DR RICARDO JORGE LOTE 1º ESQ 2700-301 - AMADORA,1924-6-19
38146338880,510688674,Alberta Chaves,924421919,TV ANTIGA ESCOLA LOTE 2º ESQ 2580-552 - RIBAFRIA,1947-9-9
10549414876,133906229,Penélope Henriques,988091256,R JAIME MACEDO LOTE RC 2650-445 - AMADORA,1929-2-1
31437158172,804277897,Osório Abrahão,978968956,R ADELINO DA PALMA CARLOS LOTE 3º ESQ 2700-895 - AMADORA,2006-7-20
47282931643,253755678,Eurico Góes,950703060,CSL CAMARINHAS LOTE 2º DTO 2580-358 - ALENQUER,2018-8-7
52381999965,662251229,Anita Viveiros,942192577,URB QUINTA PÓ CERRADO LOTE 2º ESQ 2580-376 - ALENQUER,1980-11-3
60995056419,122250377,Lourdes Castro,936239941,PCT MESTRE ROQUE GAMEIRO LOTE 2º DTO 2700-576 - AMADORA,1962-7-19
80669277802,165833935,Francisca Cutileiro,964085882,R FIDALGOS DA LAJE LOTE 1º ESQ 2580-104 - ALDEIA GAVINHA,1961-8-7
18633734718,557084860,Leopoldina Viegas,921383191,R GOA LOTE 1º DTO 2720-261 - AMADORA,2019-9-1
60853339240,624773686,Lilian Ventura,914415850,ESTR CARAPINHA LOTE 3º ESQ 2580-363 - ALENQUER,1990-7-19
43713779157,653154243,Patrício Guedes,948643641,R PROF DR EGAS MONIZ LOTE 3º ESQ 2610-149 - AMADORA,1932-11-19
49404828876,489740071,Paulina Liberato,986032289,R GEN ALVES ROÇADAS LOTE 1º DTO 2720-254 - AMADORA,1922-7-15
79791440143,200937544,Rosalinda Domingues,911101731,LG VALE LOTE 1º ESQ 2630-568 - SANTIAGO DOS VELHOS,2000-8-18
33839078370,151570775,Laila Silvestre,979702947,QTA NOVA LOTE 3º ESQ 2580-087 - ALDEIA GALEGA DA MERCEANA,1976-3-6
64101737531,323262562,Mafalda Caldeira,911061328,ROT RODEIO LOTE 2º ESQ 2580-441 - VILA VERDE DOS FRANCOS,2010-9-19
61975129654,557938898,Silvana Resendes,988625689,LG ANTÓNIO SÉRGIO LOTE RC 2720-049 - AMADORA,1926-3-13
44302926947,266973575,Magali Bandeira,937572554,R STA ANA LOTE 1º DTO 2630-558 - SANTIAGO DOS VELHOS,1967-8-23
29490444616,525279943,Aarão Capela,973767511,PCT JOAO GONCALVES ZARCO LOTE 1º ESQ 2580-484 - CARREGADO,1998-6-21
44482531559,619176886,Eduardo Vilhena,956997852,QTA DO BARREIRO LOTE 1º DTO 2580-366 - ALENQUER,1939-12-19
23973103175,248791064,Marcelina Brum,913161846,R 1 DE MAIO LOTE 2º DTO 2630-011 - ARRANHÓ,1963-10-22
71841169187,529078602,Frederico Guerra,980931115,ALTO DA BOAVISTA LOTE RC 2580-374 - ALENQUER,1989-7-13
56097735593,607913557,Virgínia Pinto,917730230,LG S MARIA MADALENA LOTE 2º ESQ 2580-101 - ALDEIA GAVINHA,1955-1-16
13960080401,150369759,Alice Marinho,976358227,FLORES LOTE RC 2580-088 - ALDEIA GALEGA DA MERCEANA,2002-10-21
93595218754,391829185,Calisto Novais,989601807,R MOINHO LOTE 3º DTO 2610-116 - AMADORA,1921-1-8
82611080320,921695854,Marisa Carrico,932028951,R PRINCIPAL LOTE 2º DTO 2580-067 - ABRIGADA,1989-8-19
91884908568,229728645,Alfonso Câmara,927485178,CSL S CRISTÓVÃO LOTE RC 2580-381 - ALENQUER,1998-7-9
71126239784,119074803,Elias Castanho,930350131,R MONTEPIO AGRARIO LOTE 2º ESQ 2580-325 - ALENQUER,1977-4-9
42198574863,266465302,Jaime Henriques,974102840,CSL MOCHOS LOTE 3º DTO 2580-152 - CARNOTA,1989-8-16
71799621567,491360847,Amílcar Domingues,969691021,TV MOINHO LOTE 1º ESQ 2610-253 - AMADORA,1961-7-25
69658081545,650689960,Andreia Jardim,968851415,PTO RICARDO LOTE 1º ESQ 2580-089 - ALDEIA GALEGA DA MERCEANA,1970-6-23
30729711509,786350243,Germana Serra,929019318,CSL SALTAO LOTE RC 2630-358 - ARRUDA DOS VINHOS,1954-9-9
86462868799,604737495,Miriam Gama,915059225,R 25 DE ABRIL LOTE 2º ESQ 2580-181 - MECA,1935-5-3
92780409260,921871301,Julieta PereiradaSilva,943792502,R 1 DE DEZEMBRO LOTE 1º DTO 2700-669 - AMADORA,1932-8-6
80300219076,614141484,José Brito,975608072,TV ESCADINHAS LOTE 1º DTO 2630-575 - SANTIAGO DOS VELHOS,1970-3-17
50076434393,696988750,Marina Oliva,936212055,R PORTELADA LOTE 3º DTO 2580-435 - VILA VERDE DOS FRANCOS,1971-10-8
58969982660,303130638,Silvana Graça4,983308957,R DR BENTO PEREIRA CARMO LOTE 1º DTO 2580-360 - ALENQUER,1981-10-1
69703911161,275574132,Josefina Marques,938388368,LG RAINHA D LEONOR LOTE 3º ESQ 2580-126 - ABRIGADA,1920-3-24
45455932937,504760346,Constança Homem,940231315,ESTR S JOÃO LOTE RC 2630-371 - ARRUDA DOS VINHOS,2003-1-17
50776524581,117113601,Guiomar Pinheiro,957548104,R COMEND GUILHERME JOÃO CARLOS HENRIQUES LOTE RC 2580-310 - ALENQUER,1932-4-4
89098327611,748670299,Lázaro Neves,922567120,LG IGREJA LOTE 3º DTO 2580-447 - ABRIGADA,2014-12-6
84707394424,132981324,Lúcia Almeida,914720592,ESCNH S PEDRO LOTE 1º ESQ 2700-763 - AMADORA,1986-12-26
69120078819,470341895,Germana Parra,916682374,CSL BOA VISTA LOTE 3º ESQ 2630-304 - ARRUDA DOS VINHOS,1977-3-14
93938208791,155620300,Teobaldo Maciel,985755884,R HENRIQUE LOPES DE MENDONÇA LOTE 2º DTO 2650-043 - AMADORA,1971-4-1
96218530617,497773657,Sneed Varela,944144803,QTA RIBEIRA LAUDO LISBOA LOTE 1º ESQ 2580-376 - ALENQUER,2005-6-27
46955160155,449759048,Serafim Tinoco,969925419,R JARDIN LOTE 3º DTO 2580-155 - CARNOTA,1930-7-28
14185356981,720041949,Emanuel Viveiros,931732135,CSL CASAL DO LAPÃO LOTE 3º ESQ 2630-326 - ARRUDA DOS VINHOS,1934-3-11
82536217004,194790224,Humberto Dias,947799094,R PINTO BARREIROS LOTE 3º ESQ 2580-499 - CARREGADO,2014-6-7
70259104032,883937970,Aloísio Saldanha,942808423,CC FONTE VELHA LOTE 2º DTO 2580-082 - ALDEIA GALEGA DA MERCEANA,1944-2-6
65061383524,459282768,Micaela Vidal,915358884,R S CRISTOVAO LOTE 1º ESQ 2650-111 - AMADORA,2016-2-4
46257635115,248431527,Mariana Vila,975324871,BR S MARTINHO LOTE 2º ESQ 2580-102 - ALDEIA GAVINHA,1931-8-14
91329678614,975653017,Felícia Falcao,925593494,R COLECTIVIDADE LOTE 1º DTO 2580-255 - PEREIRO DE PALHACANA,1990-10-16
55452436281,841786829,Vicente Tavares,950621082,R JOAO DE DEUS LOTE 1º DTO 2580-376 - ALENQUER,1954-8-27
71546057899,711136555,Aníbal Vale,915219388,BC NORDESTE LOTE 1º ESQ 2630-198 - ARRUDA DOS VINHOS,2014-5-11
29746609248,155858460,Emília Lisboa,988605023,BC FORNOS LOTE 2º ESQ 2580-373 - ALENQUER,2022-11-16
57619961619,354473763,Ângela Vasconcelos,938780981,R ESPERANÇA LOTE 3º ESQ 2580-412 - VENTOSA ALQ,1970-11-2
60817652176,702161714,Rosalinda Abril,934571329,CRZT CARDOSAS LOTE 2º ESQ 2630-409 - CARDOSAS,1935-2-16
17019926290,458838198,Epifânia Portela,929228056,R VIANA MOTA GSB LOTE 3º ESQ 2650-064 - AMADORA,2009-8-4
48988101189,618411384,Luz Pimentel,982501397,R PRINCIPAL LOTE 1º DTO 2580-258 - PEREIRO DE PALHACANA,1973-11-1
71184944587,102029700,Flávia Branco,955101821,R MOINHOS LOTE 1º ESQ 2580-258 - PEREIRO DE PALHACANA,1968-10-3
94897866635,776225711,Danilo Marinheiro,982388891,R MOINHO DO CEU LOTE 2º ESQ 2630-551 - SANTIAGO DOS VELHOS,1965-6-8
50137421469,211050875,Laurinda Apolinario,984089532,LG FONTE LOTE 1º ESQ 2630-534 - SANTIAGO DOS VELHOS,1947-3-16
77075996842,173271415,Faustino Medeiros,964242778,R FUNDADAS LOTE 1º DTO 2630-081 - ARRANHÓ,2000-10-13
95729282499,620630867,Amanda Goulart,945713038,EN G LOTE 3º DTO 2580-082 - ALDEIA GALEGA DA MERCEANA,1924-1-14
72426200519,588204540,Júlio Gama,985568527,CC CASTELO LOTE 1º DTO 2650-343 - AMADORA,1940-7-11
86064687893,655315406,Caetana Dinis,934285170,EN 3 LOTE 3º ESQ 2580-507 - CARREGADO,1935-6-23
49194728578,125980557,Bárbara Freire,936895312,CSL QUADRADAS LOTE 1º ESQ 2580-145 - CARNOTA,2009-10-14
48919218283,195398039,Pascoal Azevedo,943613030,ESTR CASAL TELHEIRO LOTE 2º ESQ 2630-321 - ARRUDA DOS VINHOS,1948-2-18
50388149378,313622252,Custódia Americo,939312652,EN 9 LOTE 2º DTO 2580-087 - ALDEIA GALEGA DA MERCEANA,1947-4-2
27255638496,384158454,Gastão Tomás,957137326,R LIBERDADE LOTE 3º DTO 2580-089 - ALDEIA GALEGA DA MERCEANA,2010-3-19
44143539452,730458125,Solange Aveiro,965032803,AV LOURENCO MARQUES LOTE 3º ESQ 2700-526 - AMADORA,2013-1-26
31287104270,640849041,Alfredo Vicente,980515674,CSL SOL LOTE 3º ESQ 2630-423 - CARDOSAS,1956-4-7
48237944102,675509020,Prazeres Neves,977031521,ESTR SERRA MIRA LOTE 3º DTO 2650-081 - AMADORA,1993-4-2
83589684733,640505902,Cláudia Coval,913183546,ESTR ABROLHINHOS LOTE 3º DTO 2630-518 - SANTIAGO DOS VELHOS,1934-1-17
